ID_AGENCY;Agency Name;Agency Type
AGG_000681;Safety Harbor;Municipal Police
AGG_000682;St. Petersburg;Municipal Police
AGG_000683;Polk County;Sheriff
AGG_000684;Bartow;Municipal Police
AGG_000685;Haines City;Municipal Police
AGG_000686;Lakeland;Municipal Police
AGG_000687;Lake Wales;Municipal Police
AGG_000688;Winter Haven;Municipal Police
AGG_000689;Putnam County;Sheriff
AGG_000690;Crescent City;Municipal Police
AGG_000691;St. Johns County;Sheriff
AGG_000692;St. Augustine;Municipal Police
AGG_000693;St. Lucie County;Sheriff
AGG_000694;Fort Pierce;Municipal Police
AGG_000695;Port St. Lucie;Municipal Police
AGG_000696;Santa Rosa County;Sheriff
AGG_000697;Milton;Municipal Police
AGG_000698;Sarasota County;Sheriff
AGG_000699;Sarasota;Municipal Police
AGG_000700;North Port;Municipal Police
AGG_000701;Seminole County;Sheriff
AGG_000702;Longwood;Municipal Police
AGG_000703;Sanford;Municipal Police
AGG_000704;Sumter County;Sheriff
AGG_000705;Webster;Municipal Police
AGG_000706;Perry;Municipal Police
AGG_000707;Union County;Sheriff
AGG_000708;Volusia County;Sheriff
